"","Response.ID","City.area","Age","Comments"
"52","hPC44nak","Port Townsend (outside the city limits)","75+","Early AM Adult LapSwimming Workouts. Mountain View Pool is a joke and an affront to any serious lap swimmer"
"53","f9kzmjhp","Port Townsend (within city limits)","65-74",""
"54","RqEB2REh","Quilcene","65-74","Valuable but expensive stay focused on priority swimming then build out other desirables as funding allows over time. If membership fee too expensive will not be able to participate as on fixed income. Consider option style memberships, senior and low income rates for optimal levy acceptance"
"55","XufBnGgc","Port Hadlock-Irondale","35-54","Broad use options are so important in a rural community.  Childcare options are also very important even if I would not use because I don’t have children"
"56","c1CihwJO","Port Townsend (within city limits)","65-74",""
"57","HZkpgLSG","Port Townsend (within city limits)","65-74","An aquatic center is essential for east Jefferson County. Since my husband and I are in our 70s we would use it because water activities and therapies of all kinds are so helpful to our health. But I feel very strongly that a new and extensive aquatic/athletic center would be especially beneficial for the teens, children, and young adults in our community. I've lived many different places and I've seen the positive effects a community based center like this can have on the physical, mental and social health of a city, or in this case a county. We support this effort 100%. We may not live long enough to use it but our many younger family members who live here will definitely use this facility and benefit from it. One more thing, such a facility will also will improve value in multiple ways for east Jefferson County. Thanks!"
"58","QBCiKNCP","Port Townsend (within city limits)","65-74",""
"59","GBEB3WBl","Port Townsend (within city limits)","55-64","I will only use the pool if it salt water (non chlorinated). Myself, and many others, have medical problems aggravated by chlorine."
"60","GfB6aiSs","Port Townsend (outside the city limits)","55-64",""
"61","zdCiwfHC","Port Hadlock-Irondale","18-34",""
"62","dOEBmk5j","Port Townsend (within city limits)","65-74","I am completely against the add-ons like climbing wall, kitchen, party spaces, child care, classes etc and will not support the pool if they are part of the plan."
"63","NWB6czLb","Port Townsend (within city limits)","55-64",""
"64","Uifkmk2l","Port Hadlock-Irondale","75+","My wife and I take care of our 2-year-old granddaughter a few days a week. We would definitely bring her there for swimming lessons, rec.play, play groups, whatever is offered. My wife would swim and attend water aerobics classes, and we both would use a fitness room several times a week."
"65","0FCiaDFw","Port Townsend (outside the city limits)","75+","When my children were young they all became members of the PT swim team and attended many swim meets at other pools.  Of course this was after taking swim lessons.  I also swam on an adult swim team that attended meets with other adults. Those were good years. Now as an older person, I would be at least enjoying the therapy part of using a pool. It is easier on the body to do therapy in a pool and I would enjoy the hot tube area if available."
"66","Brk8aDuZ","Port Hadlock-Irondale","75+","Very important to community. It really is a necessity. Love the idea it can be used for all ages."
"67","mmEBiepf","Port Hadlock-Irondale","65-74",""
"68","UfCY1TCW","Port Hadlock-Irondale","35-54","There were no questions about disability friendly innovations or programs. I would like to see this in the options.  Hot tubs yes, how about cold plunge or cold room facility?  I would like to see this as a walkable facility to get too. Less cars. Please plan all of this with a walkable neighborhood vibe for those of us who already live in the area. I know there will be cars, but if you make it walkable to those who live here, then there will be less cars. Bike lanes too.  The taxes. Times are hard. Get creative with those less fortunate on fixed incomes or disabled home owners. They are the ones who are going to hurt or be pushed out of their homes to fund stuff like this. They live in Hadlock because it is more affordable. What will you do for them to stay here while we improve our county offerings.? The taxes need to be less painful for those people who have been here a long time and are just trying to survive. How do they get to have access to an amazing space, but still afford to eat or pay for their house? Sone can afford these taxes. Some cannot."
"69","L5CKXRUj","Port Townsend (outside the city limits)","65-74","I would love to have a pool at the park near Chimacum High School"
"70","TfC4wJRD","Port Townsend (within city limits)","35-54",""
"71","VbC490NY","Port Townsend (within city limits)","65-74","Way too many Christmas Tree Ornaments on this.  We do not need a lazy river or other things.  It will not be a major tourist attraction, nor will it attract more high roller real estate investors. People come to our area from urban environments to enjoy our natural features. We just need a basic pool for the year around folks.  Swim lessons are important along with water aerobics.  Stop trying to duplicate services that are available in our community.  Also, more honesty as to the full impact of the tax increase."
"72","IFC4A0II","Port Townsend (within city limits)","65-74","Glad to hear this project is moving forward"
"73","vtfMQCnp","Port Townsend (within city limits)","65-74",""
"74","YACYQT0F","Port Townsend (within city limits)","35-54","Please build us an awesome center like port Angeles! I would be most likely to use if it was salt water or very low chlorine and full length."
"75","HXk7o9qK","Port Townsend (within city limits)","65-74",""
"76","b1fsiWF2","Port Townsend (within city limits)","65-74","I think the spot you picked is great"
"77","g7fVkNwX","Port Townsend (within city limits)","35-54",""
"78","99CiyXmL","Port Townsend (within city limits)","75+",""
"79","YKCiYUV7","Chimacum","65-74","Glad it is going in Hadlock.  Wonderful opportunity to have it by the library, school, and new habitat development."
"80","gHEBZ6fJ","Marrowstone","65-74",""
"81","RSB6wm9M","Marrowstone","65-74",""
"82","DwC4I5ll","Marrowstone","75+","I had polio in 1954 and had to stop my 1.5 mile daily walks a couple of years ago because of leg weakness. Swimming is the perfect exercise for me. It's why, as a teenager, I because a very accomplished swimmer. We had a small cottage on a lake in Michigan. I would swim the 3/4 mile across the lake and back at least once a week, plus every day swimming and diving."
"83","vlC4e1Ai","Quilcene","65-74","Because I live in Quilcene, an aquatic center in Hadlock is MUCH more appealing to me than a center in Port Townsend. I would use it primarily for therapeutic purposes."
"84","Z3fDx3nF","Port Townsend (outside the city limits)","75+","It sounds very interesting. It is very necessary."
"85","8IC4efqQ","Port Townsend (within city limits)","65-74","The survey questions sound like the plan is for an outdoor unheated pool. We think an indoor pool is crucial. We also think there need to be adult free swim times so we could do water aerobic or physical therapy in the pool. Earlier questions in the survey regarding our current pool use: the Mountain View pool is awful, we don’t use it. Other places we have lived and had access to a pool, we swam at least once a week. Best of luck. We are loooong overdue for a better aquatic facility for our kids, for our aquatic safety, and for the better health of the county."
"86","KqCYc5dP","Port Townsend (outside the city limits)","35-54",""
"87","QkfjMmfk","Port Townsend (within city limits)","55-64",""
"88","q1C4Qars","Port Townsend (within city limits)","65-74","Think location near county library an excellent idea."
"89","L1CYAV9b","Quilcene","35-54",""
"90","1mkVhxJa","Port Townsend (within city limits)","65-74",""
"91","QbB6h7FB","Port Townsend (within city limits)","55-64",""
"92","dNCK3ITQ","Chimacum","35-54","Child swim lessons would be amazing!"
"93","z5DTvlqT","Port Hadlock-Irondale","18-34",""
"94","f0EBMiVI","","55-64","Please just build a pool, I have multiple chronic illnesses and it is an ideal form of exercise for me!"
"95","kfB6tRLr","Port Hadlock-Irondale","65-74","What a fabulous location. Nearby schools and homes with kids that will thrive with a facility like this!"
"96","aMEBmc53","Port Townsend (outside the city limits)","35-54","Although my kids are ready to leave for college, I think about what we would have loved when we were a young family. A large, state-of-the-art pool facility would have been a dream come true in Jefferson County and we would have used it all the time. I hope that we can bring this valuable resource to the families of Jefferson County, and not shortchange them in favor of louder, older voices."
"97","pZDTzMgk","Port Hadlock-Irondale","65-74",""
"98","X5kd4xEE","Port Townsend (within city limits)","65-74","Both my children learned to swim at the local pool and went on to competitive swimming. Kind of sad the peninsula doesn’t have a real swimming pool."
"99","v3B6jKfP","Port Townsend (within city limits)","65-74",""
"100","EXB6SUWo","Chimacum","55-64",""
"101","onCYx1xx","Marrowstone","65-74",""
"102","b9C4zXEJ","Port Hadlock-Irondale","35-54",""
"103","b9kBhBqk","Quilcene","35-54",""
"104","hmCiJwbG","Port Townsend (within city limits)","75+","We need a therapy pool that is warmer than current swimming pool. I would have been a regular user for years if there were a pool that was warmer.  My muscles cramp in cold water."
"105","h4EB3VJ7","Port Hadlock-Irondale","18-34",""
"106","EYEBPgMh","Port Townsend (outside the city limits)","35-54","Allow independent, private developers to bid on and build aquatic centers, housing developments, stores, restaurants, hotels, golf courses, everything. The development restrictions in Jefferson County are absurd and will lead to long lasting inequality and infrastructural decay. This pool is never going to happen unless it is built by a private developer. I can also say that there is absolutely no way I will vote for this to be tax payer funded at any level. I would however rejoice in private development of any kind in Jeffco."
"107","7eEBbCHV","Chimacum","18-34","I love the idea of a pool/recreation facility located in Port Hadlock near the library and elementary school. Though I do not have kids myself, so I answered no too many of the questions about childcare, I think it is extremely important to provide childcare and youth education opportunities. I am a farm worker so I would absolutely love to have access to a sauna, therapeutic opportunities, and lap, swimming. The idea of community spaces, community kitchen and shower facilities is also really important for our community and exciting! I personally have so much excitement about the climbing/boulder gym idea. Bring climbing to Jefferson County!! Bouldering or ropes I would definitely use frequently and know many people who would be excited about this. While I am supportive of a sales tax to fund this project, I wonder if there is a tax that can be focused on people with the higher incomes to fund it as well."
"108","lSB675rh","Port Townsend (within city limits)","65-74","I would have liked to have seen a ""once a month"" option on the how often would you use the facility.  I do support the idea of this center in Chimacum. I especially like the idea of it being configured for more uses along with the pool."
"109","WTCikkYZ","Port Hadlock-Irondale","55-64",""
"110","kCCKjE4b","Chimacum","18-34",""
"111","mkB6agZ1","Port Hadlock-Irondale","35-54","Very excited about h to e prospect of having a new aquatic and recreation facility in Port Hadlock!"
"112","fmB649WQ","Port Townsend (within city limits)","65-74",""
"113","uYfC0fLi","Port Townsend (within city limits)","65-74",""
"114","ZnC4HTGg","Port Townsend (within city limits)","65-74","I would use the pool more if it was in PT"
"115","l9EBng5I","Kala Point","35-54",""
"116","TlEBswPk","Port Townsend (outside the city limits)","35-54",""
"117","sGkB1lpM","Quilcene","35-54",""
"118","8zC4j9d4","Port Hadlock-Irondale","55-64","Glad a Hadlock/Chimacum location is being considered."
"119","dzfD9kw8","Port Townsend (within city limits)","65-74",""
"120","KYfkiTqw","Port Townsend (within city limits)","75+",""
"121","29C4f3aJ","Port Townsend (within city limits)","65-74",""
"122","dWCiSMlD","Port Townsend (outside the city limits)","55-64","Hadlock is the perfect place for such a regional treasure. Kids and adults alike need community minded exercise options. Kids aren’t learning how to swim now and it causes danger in many outdoor situations."
"123","KrB6Mtdo","Chimacum","35-54","Port Hadlock is an ideal location for a county facility. Please plan for a sufficiently sized parking lot. Multi-use spaces in addition to pools would be wonderful."
