"","Response.ID","City.area","Age","Comments"
"221","yIfoacX6","Port Townsend (outside the city limits)","55-64","Before the pandemic I participated in water aerobics at the Mountain View pool three days a week. My husband did lap swimming a similar number of days per week. I have not been back since, unfortunately. The women's locker room is way too crowded, the pool is often closed for various reasons, and my preferred instructor no longer works there. The Hadlock location would be much more convenient for us. Please do not suggest building the Taj Mahal. Please just build a pool with the core requirements. Too many Jeff Co. residents won't vote to pay for it. We will, enthusiastically, but those ""no PT pool tax"" signs are real."
"222","G3fzWm0t","Port Townsend (outside the city limits)","65-74",""
"223","zHB6ArUT","Port Townsend (within city limits)","55-64",""
"224","KJCieUqB","Port Townsend (within city limits)","75+","I have heard much muttering that too little space has been left for lap swimmers who have had to wait in line for available lanes. Can a balance of usage be sorted so lap swimmers  can rely on regular, reliable access?"
"225","RmB63ABX","Port Ludlow","55-64",""
"226","HJC4XEW2","Port Townsend (outside the city limits)","35-54",""
"227","yFCiA4P7","Quilcene","65-74","I visited a swimming pool in Lynnwood with my little grandson and the facility had wonderful ladders and slides for toddlers with shallow water. I would love to see  elements appropriate for little children. They also had a ""river"" of water that people could walk or swim through. That was fun. My grandson would visit to go to the pool here with us. I used to visit the pool in Sequim where I enjoyed the hot tub area. It was social and very nice for relieving body aches and such. Even though I most likely would not personally use elements in a facility designed for teens I would love to see those things. I'm not sure what they love these days, but perhaps a game room might be nice for them with foosball, pool, chess, checkers, etc. Exercise equipment could be included in the teen area or in a separate space. Entering a pool can be hard on old legs. It would be nice to have some stair entrances to some of the swim areas. I LOVE the idea of indoor pickleball."
"228","A9kIw32J","Port Hadlock-Irondale","55-64","While we might not be a frequent user of the facilities, we do believe that this is important for those with families in our community."
"229","7JC4A1Vr","Coyle","35-54","I do not support a county wide pool tax … there is plenty of money to support it in a town like Port Townsend (for example), not necessarily a place like Coyle (for example). There should be an alternative way to fund it."
"230","4CEB3lBF","Port Townsend (within city limits)","65-74","lots of old people need it for the only exercise they can do with their fragile bodies"
"231","r2kxqQSo","Port Townsend (outside the city limits)","55-64","Thank you for asking for our input."
"232","6RC4l5mi","Quilcene","55-64",""
"233","oLfgZntC","Port Townsend (within city limits)","55-64",""
"234","imB6Vknu","Gardiner","65-74","Find some other way than raising everyone’s sales tax."
"235","qQkSDHmb","Port Townsend (within city limits)","75+","My answers on use are conditional upon the pool being a saltwater pool. I cannot tolerate chlorine.  Chlorine is a dealbreaker for me and I would be very disappointed. My physical therapist highly recommend swimming, but there is nowhere to do that safely for me."
"236","XGfdy9cl","Port Townsend (within city limits)","65-74","I myself probably wouldn’t use it much, but I think it’s important for the community to have one, and I support it."
"237","kWC4wNlu","Port Townsend (within city limits)","35-54",""
"238","UcB60bHJ","Marrowstone","75+",""
"239","8KC4MHga","Port Townsend (within city limits)","75+","Just concerned about the cost.  Our community need sooo much and I don't know if an aquatic center is where the finances should  go first.  It's a dilemma for certain."
"240","ewEBmEFF","Port Townsend (within city limits)","65-74","Just build the pool,  indoors.    Allow ground space for an outdoor pool or other expansion in the future.      Just get the pool[s] done and overwith.    Also,  DO keep the MountainView pool intact,   and fix it up [if it really needs fixing] in the future when money is available.  But mainly     get the Hadlock pool built."
"241","Y0CKDRyW","Port Townsend (within city limits)","65-74","When I lived in Seattle, I’d routinely drive 20-30 minutes to reach a lovely outdoor pool in Magnolia, and 45-60 min to reach a stunning outdoor saltwater pool in the summer in West Seattle. When just seeking exercise, I’d drive 10-15 minutes to reach my local pool in Ballard year round. Therefore the outcry here of “No tax for PT pool” seems silly to me because we’re all so close here, when compared to Seattle. I would definitely use the pool in Chimacum, especially if there was a bus from PT."
"242","dGCiQkcS","Port Townsend (outside the city limits)","55-64","Would the sales tax fund operation and maintenance of the aquatic center as well as construction? If not, how would those be funded?"
"243","ojCiN09b","Quilcene","35-54",""
"244","N0CKbdMs","Port Townsend (within city limits)","65-74","We do not use the current pool because it is too cold-below recommended standards. A new pool must be warmer-meet recommended standards-for more people to use it. Most folks I know travel to Sequim or Port Angeles to use their pools."
"245","PikdiFIu","Port Townsend (outside the city limits)","65-74","I support programs that make life better for people even if I don’t personally use them. We are all connected!"
"246","CxfF94LU","Port Townsend (within city limits)","35-54","I would like to use the pool for personal fitness. I think it’s important we have a pool so kids can learn to swim."
"247","fxB67yZM","Port Townsend (within city limits)","55-64","I will only support this project if the cost is reasonable to our community. Better to go more simple and manageable than spend money on unnecessary amenities. I do love the central location. Thank you."
"248","ImB6XAc0","Port Townsend (within city limits)","55-64","I'm very happy that you're considering a location in the Port hadlock area. I've been saying for 10 years or more that a location more central to East Jefferson County was more fair and accessible to all. Good job! I live in Port Townsend and have enjoyed having a pool in Port Townsend and would love to have one again but if this is going to be a county pool he in a place that everybody in East Jefferson County can use it."
"249","GrCiBov0","Port Townsend (outside the city limits)","35-54","I am a teacher at Blue Heron Middle in PT. We use the pool downtown every year with our 7th graders for water safety and team training. Unfortunately, we weren't able to use the pool last year because the boiler needed repairs. We would love to have an updated rec and aqua center. The idea of having a gym, pool, jacuzzi and sauna with actually classes would be amazing. Classes and class times, as well as gym options are limited in PT city limits. We are excited for this possibility in Hadlock! This new facility would be about 5 minutes from our house, so we would use it 5-7 days per week."
"250","b6CYJjrm","Port Townsend (within city limits)","65-74",""
"251","HCfObQhM","Port Townsend (within city limits)","35-54",""
"252","JUEBIFjr","Port Townsend (within city limits)","75+",""
"253","J2EBWpxq","Port Hadlock-Irondale","65-74","The wife and I don't use the current pool because it is in Port Townsend, but we would use it if it were built in Port Hadlock. We think you would get more from South County as well to justify the cost."
"254","flfuMVXd","Port Townsend (outside the city limits)","65-74","An aquatic center is an essential part of a healthy community. Let’s go!"
"255","d2Ci1Dfi","Marrowstone","55-64",""
"256","hwEBzIu7","Marrowstone","65-74","I would use a pool if it was in Hadlock. The port Townsend pool was too far and not inviting / appealing."
"257","bvCY7Nwg","Kala Point","35-54",""
"258","VmEBPaq8","Port Townsend (within city limits)","55-64",""
"259","vqfBtnkq","Port Townsend (within city limits)","65-74","Hope you find the right balance between function, beauty, and efficiency. Green and sustainable. Serving young, prime adult, and older community members would be great. Healthy environmental impact with minimal [no?] use of toxic substances. Renewable energy, too. Would love outdoor fitness stations on the pool/center grounds and a running path around it. Asking a lot, but that's the dream.Thanks."
"260","RnDT0at8","Port Townsend (outside the city limits)","65-74",""
"261","xeCiFJJh","Port Townsend (within city limits)","35-54",""
"262","D9CK8AsR","Port Townsend (within city limits)","65-74","Adult swims would be nice on a regular basis"
"263","bYEBZ6CN","Chimacum","65-74",""
"264","JBDTip0F","Port Townsend (within city limits)","65-74",""
"265","XGB6cPSu","Chimacum","35-54",""
"266","SiEB6Egj","Port Townsend (outside the city limits)","18-34",""
"267","rBB6769g","Port Townsend (within city limits)","55-64",""
"268","7pC4d3Uj","Marrowstone","75+","Best wishes."
"269","nafVPh5w","Port Hadlock-Irondale","35-54",""
"270","xLC4QqJY","Port Ludlow","55-64","Very excited about having a place like this I can actually afford to use! I live in Port Ludlow, but not in an HOA, so cannot afford the outrageous fees the Club charges nonmembers to use their facilities. I would also be interested in a weight room. A small theater with a stage for local groups to use would also be great."
"271","D5C4x5xE","Port Townsend (within city limits)","55-64","I am excited for this new aquatic center!  I support this. I am 60 yrs old and used to compete when I lived in Enumclaw when I was younger. I am a grandma and looking forward to teaching my granddaughter learn how to swim and all the fun activities offer for little ones. (she is 17 months old now). I look forward to going to the Aquatic center often. I love swimming and water, and I have been hoping to have Aquatic center like Sequim but closer to home. I live in Port Townsend. So, thank you for making this possible. I support this."
"272","OrfuDcOm","Kala Point","55-64",""
"273","riCi7gyT","Port Townsend (within city limits)","65-74",""
"274","YQCKOhLV","Port Townsend (within city limits)","55-64","Indoor walking/running track."
"275","C1CYLod8","Port Townsend (within city limits)","65-74","I’m happy the choice for location will serve the county residents.  The tri area bus system will need to be more frequent."
"276","rmB6NuJR","Port Townsend (within city limits)","35-54","All my answers are based on & hoping that this plan is for a salt water pool like in Port Angeles. I cannot & would change my answers if it is chlorine."
"277","Xrkw2kJD","Kala Point","35-54",""
"278","miC4Zq2d","Port Townsend (within city limits)","65-74","This is a long shot, but any possibility of a salt water pool? So much more pleasant to swim in, than a traditional pool"
"279","3QEBCHN9","Port Townsend (outside the city limits)","55-64","Please, Please emphasis the Non Aquatic Recreational features!!.. This should be much more emphasized in your promotion and out reach!!!… People don’t realize this is about a Recreation center!!… a lot of people don’t swim so they will not support it if they think it is JUST a pool,  but would use the non aquatic facilities and classes!! and rent space!!! if they knew it was a recreation Center!!!!!!!!"
"280","QZkj74cw","Port Hadlock-Irondale","75+",""
"281","0yDTLA1E","Port Townsend (outside the city limits)","55-64",""
"282","w9CKS3SV","Port Townsend (within city limits)","18-34",""
"283","wCfvbUia","Port Hadlock-Irondale","65-74","There should be dedicated times for lap swimming, during which the pool would not be used for other activities. It's not worth building a new facility if user charges won't cover the bulk of the operating costs."
"284","iMCYeDPr","Port Townsend (within city limits)","75+","The county needs this facility to happen.  I am hoping that there could be ""matching"" funding between our local philantropists and county taxpayers to construct and maintain our dream of a comprehensive community facility. Our present demographics and economy is hardpressed to add more tax burden on its citizens. As our population is expected to grow, our needs for infrastructure should come first. Access to the proposed property will probably require a roundabout on Rhody Drive, for instance.   There's a lot more infrastructure that needs to take place if we are going to flourish as a community with it's expected growth and needs.  My answers to this survey would be very different if I still had my family living here. Alas. I am a Senior on Soc Sec  living in my home. More tax would hurt, yes, but I also support city/county pride and commitment for our future families!"
"285","ifCYkSrl","Port Hadlock-Irondale","75+","There needs to be more detailed information about construction and operation costs and usage fees. Will we be able to keep it open? Suggest studying Sequim aquatic center experience."
"286","B2B6Xc5s","Port Hadlock-Irondale","65-74","must have services and activity for ALL ages"
"287","FODTfQeM","Port Hadlock-Irondale","65-74",""
"288","zVDTri72","Discovery Bay","65-74","The facility needs to be built in Hadlock, a neutral location for all schools to benefit"
"289","CQB6RJDm","Port Hadlock-Irondale","75+","I fully support the building of an aquatic and recreation facility in EJC. I would use it as often as possible for water aerobics and stretching classes for my advanced age of 77. And the youth NEED to learn to swim in this community surrounded by water! And for healthy recreation. We need this facility for all age groups."
"290","7eCiJIxM","Port Hadlock-Irondale","65-74",""
"291","n9CKa6sw","Port Townsend (outside the city limits)","65-74",""
"292","E1feaTz1","Port Townsend (outside the city limits)","65-74","Even though we do not have any little ones in our family at this time - I would have used it when my kids were small and think it is important for young families.  I would reluctantly  support the increased sales tax but Port Townsend’s sales tax is already 9.4% so that would make our sales tax extremely high.   Thank you for your efforts."
"293","ViCY4sPb","Port Townsend (outside the city limits)","65-74","I swam laps several times a week when I lived in Seattle. Unfortunately the current pool is not inviting. I would definitely support and attend a new facility."
"294","p4kkRT1m","Port Hadlock-Irondale","35-54",""
"295","QUC4phs3","Port Hadlock-Irondale","75+","excited about planned location."
"296","N7kUTmeC","Port Townsend (within city limits)","65-74",""
"297","04C49aE8","Port Hadlock-Irondale","35-54",""
"298","NDCYFHFd","Port Ludlow","55-64",""
"299","myCKnjqQ","Port Ludlow","65-74",""
"300","fGC4P1Lh","Port Townsend (within city limits)","35-54","I hope you have a swim team for adults. I would join a swim team."
"301","ngC41Qnl","Port Townsend (outside the city limits)","55-64","I would be interested in fitness classes, especially for seniors, as well as other activities."
"302","RsEBCACi","Port Townsend (within city limits)","35-54","We would love to have a county based rec and aquatics center that has the ability to provide children and adult activities! Happy to pay into whatever is needed to make this happen. Could the PT golf course be another possible location that might bring more income generation from tourist use as well"
"303","mDCinZcI","Port Hadlock-Irondale","55-64",""
"304","gAfmMiTV","Port Townsend (within city limits)","35-54",""
"305","ntB6Uyrk","Port Hadlock-Irondale","35-54",""
"306","Q2CYgOFi","Port Townsend (within city limits)","35-54","I wish we could build it in PT but I know it is controversial."
"307","ovCKHVAX","Port Ludlow","55-64","I think this center will help build community, invest in our youth and expand the options for families in the area. I like the idea of being able to gather, exercise, see neighbors, and stay healthier."
"308","SVfD9BRZ","Port Townsend (within city limits)","65-74","The old pool was/is associated with the YMCA. I see no mention of the YMCA with regards to the new pool? Please explain this. Thanks"
"309","kSEB9CYV","Port Townsend (within city limits)","35-54",""
"310","S5DTHvJP","Port Townsend (outside the city limits)","65-74","I would love to take my granddaughter, now 5, to the pool on early release Wednesdays - possibly for swimming lessons."
"311","ZSCKmwuu","Port Hadlock-Irondale","75+",""
"312","7mC4JCOJ","Port Townsend (within city limits)","55-64",""
"313","Eckt2mBg","Port Townsend (within city limits)","75+",""
"314","gQkXB3pk","Port Townsend (outside the city limits)","75+",""
"315","9uDToTw9","Port Ludlow","35-54",""
"316","kzC4ElcX","Quilcene","75+","WE JUST WANT TO GO SWIMMING!!"
"317","4ECiB5FM","Chimacum","65-74",""
"318","0JkiJNhh","Marrowstone","65-74",""
"319","7EC4Eb6q","Quilcene","75+","We have supported the idea of a public aquatic center since the beginning. We think that it will be important to the overall health of our community and important as a place to gather and socialize, young and old."
"320","cTDTrnJq","Kala Point","65-74","I would likely use if for lap swim only.  I would prefer to see a Petanque court in addition an yet another Pickleball court. Petanque is low impact and can be played into your 90s. It is more social than Pickleball and is very accessible."
"321","3cCKISon","Port Townsend (outside the city limits)","65-74",""
"322","07B663t1","Port Townsend (outside the city limits)","35-54","I would prefer a facility run by the YMCA"
"323","raDTp5eD","Marrowstone","65-74",""
"324","gjCi3cgL","Port Ludlow","65-74","I’m a democrat and pool supporter, just not in the corner of the county (Port Townsend)"
"325","HFCiRJkg","Port Townsend (within city limits)","75+","I simply can’t afford another tax/bond/fee. I am being spent out of my home."
"326","yHCivIpK","Port Townsend (within city limits)","18-34","Excited about this!"
"327","4KDTzF1R","Port Ludlow","75+","A new facility would open up opportunities for a greater number of people to participate in aquatics and other activities in a more central facility. It would allow me to be able to swim again and participate in aquatic exercise without driving a great distance."
"328","55kXJLnR","Chimacum","35-54",""
"329","VPfw4c4r","Port Townsend (within city limits)","55-64","I would ONLY  be able to use the whole facility if it were free to low income people. Or at least have a drastically reduced fee for usage. I would use the outdoor unheated splash if ESA dogs are allowed-this is a dealbreaker for me."
"330","QhfC1bhu","Port Townsend (within city limits)","65-74","Hope this becomes a Reality for the Whole of Jefferson Country!"
"331","hKfVOpri","Port Townsend (within city limits)","75+",""
"332","Q2C4p1Qq","Port Hadlock-Irondale","55-64","A sauna, especially a wet sauna, is very important to me and my husband. We are would also use a heated pool and gym equipment, and would participate in classes of all types."
"333","uGCYLFXz","Marrowstone","75+",""
"334","GsDTAo0a","Port Townsend (outside the city limits)","75+","I would definitely use the pool for lap swimming, preparing for triathlons"
"335","UJEBDOEK","Coyle","55-64","Why not use chimacum high school?"
"336","ElEB3CuO","Chimacum","75+","I grew up in a rural area...a recreational/swim center opened about 10 miles from our family farm....I was 10 and (sports programs for girls were almost non existent) became a part of their swim program...and eventually competitive team...it added a sense of physical fitness, team spirit, and self confidence that I would not have had if not for a program like this.....yes we competed individually but also relay teams...it was a ""whole family sport""....this was a ""pre title nine"" opportunity not seen in other places...to be able to be confident in the water is an incredible goal for all our rural children!!!"
"337","0EkSOyxi","Port Townsend (within city limits)","55-64",""
"338","wsC41zYc","Port Townsend (within city limits)","55-64",""
"339","wWCYiytm","Port Townsend (within city limits)","75+","This has been such a lengthy and difficult process and needed so badly for all here! Let's do it."
"340","h0C4Grev","Port Townsend (outside the city limits)","55-64","I went to water aerobics at Mountain View 2-3 times a week before the pandemic. I have not returned for various reasons, but I really miss the pool. Please, can there be more effort to refurbish the old pool and building and locker rooms rather than building a Taj Mahal to replace it? Because this state does not have an income tax and because a sales tax is  regressive, so much revenue seems to fall to property owners, and we are getting really uncomfortable about how our property taxes keep rising. I really would like a better pool option, but I am very concerned about spending getting out of control. Many other residents share my concern. Thanks for offering a survey and chance to weigh in."
"341","WIC4t24S","Chimacum","65-74",""
"342","eNkmipFQ","Port Townsend (within city limits)","65-74",""
"343","RiCYfi5r","Cape George","65-74",""
"344","vQCKjbot","Port Townsend (outside the city limits)","35-54",""
"345","7BCKpz8k","Port Townsend (outside the city limits)","55-64",""
"346","pDklr9wb","Port Townsend (within city limits)","75+","As with other projects the outrageous cost projections turned a lot of people off the project altogether. It would be nice to have ability for handicapped people to have access to water exercise with a lift. Perhaps Medicare would pay for this component to make it affordable for seniors and disabled."
"347","v5Ci0zKT","Marrowstone","75+","A weight and exercise room would be nice for those of us needing upper body strength."
"348","EnB6mrk0","Port Townsend (within city limits)","65-74","I would be very happy if the new aquatic facility was built  following all applicable building codes, was designed with common-sense longevity as a guiding vision - no reason a new facility shouldn’t give us 75-100 yrs of satisfactory performance - and wound up rather spartan. A simple building with a pool, gendered bathrooms, changing facilities and showers, spa and sauna, adequate parking, very close proximity to frequent transportation, and that’s it. No need for a Taj Mahal- type over-the-top facility which costs a lot to build and even more to maintain. This may seem like a retro-grouch request, but we humans are pretty darn adaptable and we really don’t need luxury / extravagance ( I know I know - subjective terms hard to define until we see it) when simple  supportive competence will suffice. I’ll verbally and financially support a new aquatic center if it’s a simple, competent low-maintenance built, with sturdy long-lasting materials. Ain’t rocket science- just think 1950’s design meets 2025 materials. Something like that. Good luck!"
"349","EFEByu37","Port Townsend (within city limits)","55-64",""
"350","xGf0JXQb","Quilcene","75+","this more central location makes it more desirable."
"351","z0EBKxN7","Marrowstone","65-74","I am excited to be able to swim again!"
"352","iZCibEiM","Quilcene","35-54","We really need anything geared towards or at least, kid friendly,  in this community! This community is centered around the baby boomer generation and is not very inclusive or tolerant of children. We need safe and healthy places for our teens and young people. We need more places snd activities for families. Our kids need swim lessons!"
"353","w8CilIqk","Marrowstone","55-64","Consider an outdoor picnic area with tables and spiffy playground equipment.  With a trail that contains regular 8-10 stop areas for activities like stretches, maybe a stop for a pull-up bar area, a 5 step up and down area, etc."
"354","XlCK2b25","Marrowstone","65-74","Great idea! A good central location and fabulous for all ages."
"355","y6C40Vfd","Marrowstone","75+","Although I am 75-years old and no young children, I would welcome an exercise pool program, physical therapy, and gym that offers exercise for older residents. I am beyond thrilled the new pool will be centrally located as I have no interest in driving 30-minutes one way to Pt Townsend. The proposed pool will be highly utilized by more Jefferson country residents who would finally have access to healthy recreation. Thank you for choosing Pt Hadlock location."
"356","HOCiZcC1","Port Townsend (within city limits)","65-74",""
"357","1Bk6KszS","Marrowstone","75+",""
"358","QPCKnOWm","Quilcene","75+","Please do not tax, tax, tax to have such a facility. Although this is something we need; find ways to support it without taxing the citizens out of needed living expenses."
"359","l5CYmkZF","Marrowstone","75+","My daughter and her family will soon return to live in Port Townsend. I am pretty sure she will connect her family *young kids"" with the new pool opportunities.  Feeling comfortable with swimming in the waters of Puget Sound is important to me.The community pool will help many individuals, learn how to swim safely and confidently and feel ready to explore the Aquatic waters of Puget Sound which is all around us. Having a safe place to support a beginning swimmer, regardless of their age, is important  and the pool is a good place to get started.         The Port Townsend Pool has been a delightful place for me to connect with friends and families while we played as our kids were growing up in Jefferson County.  Thank you for your support of public facilities in our communities."
"360","CmC4NBmD","Port Hadlock-Irondale","35-54",""
"361","jUB678Nu","Chimacum","35-54",""
"362","8SCKM7h3","Quilcene","75+",""
"363","EJEBZCql","Marrowstone","75+",""
"364","ZREBuLoW","Marrowstone","75+","Build it and we will come!"
"365","L0CKLLrB","Brinnon","65-74","Thanks for considering a more central location. Those of us in South County appreciate it!"
"366","TqB6UVFr","Port Ludlow","65-74","1. I would be supportive if the facility includes  weight/resistance and aerobic equipment.  2. There is no mention on if there will be usage fees as well as the sale tax support.  If there is sales tax support, then I think usage should be free to residence for basic usage such as pool and fitness ."
"367","qmDTmmac","Port Townsend (outside the city limits)","75+","Ridiculously expensive!  Fix the existing pool and get rid of the Woke YMCA!"
"368","2jEB2P4B","Chimacum","55-64","A public pool with some or all the features described would be wonderful, yet there’s insufficient funding at local level to build and support it. There certainly will be no more state or federal funding sources for foreseeable future. What is available are three private homeowner pool with recreational features (Kala Point, Port Ludlow North Bay and South Bay) already in the county, perhaps any of these homeowner groups would be open to lease of their wonderful facilities for some part of each day or week to be open to the public, paid for with public funds."
"369","L1Ci4RFW","Port Townsend (outside the city limits)","18-34",""
"370","33kPoGP8","Marrowstone","65-74",""
"371","1CC4iGmY","Marrowstone","65-74",""
"372","rsCYkAAN","Port Hadlock-Irondale","65-74",""
"373","A1CK19ZU","Port Hadlock-Irondale","35-54",""
"374","IsCK2IVl","Marrowstone","75+","Since we are living in a water-centric area it seems important that we all learn to swim. I played in Lake Michigan as a child but never learned the real skill, not too late to learn."
"375","NxCKoVVK","Port Townsend (outside the city limits)","65-74",""
"376","F8fFFSjw","Port Hadlock-Irondale","55-64","I am eager for space that could host group fitness classes, such as zumba."
"377","oRCiIsJw","Port Townsend (within city limits)","55-64",""
"378","URkWAcxv","Port Townsend (within city limits)","65-74",""
"379","BjB6I909","Cape George","75+",""
"380","zBCivLdu","Port Townsend (within city limits)","35-54",""
"381","x1CYpm7O","Port Ludlow","65-74",""
"382","JzCYoNsw","Port Hadlock-Irondale","65-74",""
"383","5HCi9Tfn","Port Ludlow","55-64",""
"384","mSDT0MpU","Port Townsend (within city limits)","55-64",""
"385","QqB6zoNf","Port Townsend (outside the city limits)","65-74",""
"386","86f3I1FB","Port Hadlock-Irondale","65-74","I would like to see many lanes in a large lap pool to accommodate many people at once."
"387","EWC4WjBc","Port Townsend (within city limits)","65-74","Build it for the whole community. Everyone should know how to swim in our part of the country. And it is an important place to exercise for many people.  We should come together as a community and provide this  it is a worthwhile shared cost. Make the cost clearer. Not just the formula. What would be the cost per year with the levied amount in your property?? Printed need that info to be able to not have a knee jerk reaction."
"388","BbB6EhoJ","Port Townsend (outside the city limits)","75+",""
"389","vJB6gyeN","Port Townsend (outside the city limits)","65-74","Even if we would not use a new facility, we strongly support it for the greater community."
"390","dkB6VnFt","Port Hadlock-Irondale","55-64",""
"391","fzEBvjj6","Brinnon","55-64",""
"392","yKB6CPIL","Port Townsend (within city limits)","18-34",""
"393","lzB69W8G","Quilcene","35-54","I think if you had a gym, hot tub, cold tub, steam room, sauna and cold room you would have a numerous amount of interest since all of these things are trending towards a healthier lifestyle and living longer if all of these are operated at the proper temperatures. Add a café, rock climbing, various other sports and it would serve everyone in the community well. Knock it out of the park by adding everything you said in this survey and it will return on its investment no problem."
"394","HPEBndqA","Quilcene","55-64",""
"395","ftDTMK6W","Discovery Bay","18-34",""
"396","hyCKNHJO","Chimacum","35-54","I think that the YMCA in Silverdale is amazing but too far to drive. I would pay monthly dues and appreciate sliding scale based on income or a family membership for the year for discounted price. We have 3 children that would truly benefit from swimming lessons to open swim family time. I would use it for exercise classes and lap swimming."
"397","O3B6XgSB","Brinnon","75+",""
"398","EnB6r99m","Chimacum","75+",""
"399","T7CK9Bdm","Marrowstone","65-74",""
"400","IMCiTit4","Port Townsend (outside the city limits)","65-74",""
