City.area,Count
Port Townsend (within city limits),10569
Port Townsend (outside city limits),2014
Cape George,1875
Kala Point,1566
Port Hadlock-Irondale,3805
Marrowstone,995
Chimacum,1837
Gardiner,468
Discovery Bay,964
Port Ludlow,5068
Quilcene,1685
Coyle,441
Brinnon,1341
West End,776
